"ID","Name","§130 Result Expert","Result - Vanilla GPT-4o","Result - Vanilla GPT-o1","Result - Vanilla Deepseek V3","Result - Vanilla GPT OSS120b","Result - Vanilla Mistral Large","Result - Vanilla GPT5-mini","Result - CoT GPT 4o","Result - CoT GPT o1","Result - CoT Deepseek V3","Result - CoT GPT  OSS120b","Result - CoT Mistral Large","Result - CoT GPT5-mini","Result - RuleAI Deepseek V3","Result - RuleAI GPT OSS120b","Result RuleAI GPT5-mini","Result - RuleAI Mistral Large","Result - RuleAI GPT-4o","Result - RuleAI GPT-o1"
"852440","113_50536","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852729","402_20084","1","y","y","y","y","n","y","y","y","n","y","n","y","Y","N","N","N","N","N"
"852730","403_50855","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852731","404_10043","0","n","n","n","n","y","y","n","y","n","n","n","y","N","N","N","N","N","N"
"852732","405_50815","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852733","406_30198","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852734","407_60076","0","y","y","y","y","y","y","y","y","y","y","y","y","N","Y","N","N","N","N"
"852735","408_20020","0","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852736","409_50857","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852737","410_50499","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852738","411_50126","0","n","y","y","n","n","y","n","n","n","n","n","n","N","N","N","N","N","N"
"852739","412_30114","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852740","413_10031","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","N"
"852741","414_50549","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852742","415_30078","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852743","416_60021","0","n","n","n","n","n","n","n","y","y","n","n","n","N","N","N","N","N","N"
"852744","417_50531","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852745","418_50034","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852746","419_20069","0","y","y","y","n","y","n","y","y","y","n","n","n","Y","N","N","Y","N","N"
"852747","420_50516","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852748","421_50141","1","y","y","y","y","y","y","y","y","y","y","n","y","Y","Y","N","Y","Y","Y"
"852749","422_20001","0","y","y","y","y","y","y","y","y","y","y","n","y","N","N","N","N","Y","N"
"852750","423_50907","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852751","424_30134","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852752","425_10032","1","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852753","426_30116","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852754","427_30070","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852755","428_30122","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852756","429_30189","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852757","430_10099","0","n","y","y","n","y","y","n","n","n","y","n","y","N","N","N","N","N","N"
"852758","431_30222","0","n","n","n","n","n","n","n","y","n","n","n","n","N","N","N","N","N","N"
"852759","432_30125","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852760","433_50133","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852761","434_50836","0","n","y","n","y","n","y","n","y","n","y","n","y","N","N","N","N","N","N"
"852762","435_50805","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852763","436_50195","0","n","y","n","y","n","y","n","n","n","y","n","y","N","N","N","N","N","N"
"852764","437_50082","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852765","438_20058","0","n","n","y","n","y","n","y","y","y","n","n","y","N","N","N","N","N","N"
"852766","439_50906","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852767","440_30124","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852768","441_60062","0","n","n","n","n","n","n","n","n","n","n","y","n","N","N","N","N","N","N"
"852769","442_30066","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852770","443_60065","0","n","y","y","y","n","y","y","y","y","n","n","y","N","N","N","N","N","N"
"852771","444_30236","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852772","445_30123","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852773","446_10027","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","N","Y"
"852774","447_10077","0","n","n","y","n","n","n","n","y","y","n","n","y","N","N","N","N","N","N"
"852775","448_50164","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852776","449_10090","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852777","450_50065","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852778","451_50520","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852779","452_50536","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852780","453_50007","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852781","454_30033","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852782","455_50851","0","n","y","n","n","n","y","n","n","n","n","n","y","N","N","N","N","N","N"
"852783","456_50858","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852784","457_60039","0","n","n","y","n","y","y","y","n","y","n","n","n","N","N","N","N","N","N"
"852785","458_50148","0","y","y","y","y","y","y","y","y","y","y","n","y","N","N","N","N","N","N"
"852786","459_60078","0","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","N","N","N"
"852787","460_60015","0","n","y","y","y","n","y","y","y","n","y","n","y","Y","N","N","N","N","N"
"852788","461_30083","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852789","462_50107","0","y","n","y","n","y","n","n","n","n","n","n","y","N","N","N","N","N","N"
"852790","463_10092","0","n","y","y","y","y","y","y","y","y","n","n","y","Y","N","N","N","N","N"
"852791","464_50068","0","n","n","y","n","n","n","n","n","n","n","n","y","N","N","N","N","N","N"
"852792","465_50774","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852793","466_60072","0","n","n","y","n","n","n","y","n","n","n","n","y","N","N","N","N","N","N"
"852794","467_30058","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852795","468_30172","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852796","469_20016","0","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","N","N","N"
"852797","470_30081","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852798","471_50790","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852799","472_60001","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","N","N"
"852800","473_10093","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852801","474_50913","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852802","475_10045","0","y","y","y","y","y","y","y","n","y","n","y","y","N","N","N","N","N","N"
"852803","476_50564","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852804","477_50108","0","n","y","y","n","n","n","n","n","n","n","n","n","N","N","Y","N","N","N"
"852805","478_50094","0","n","y","y","y","n","y","n","y","n","y","n","y","Y","N","N","N","N","N"
"852806","479_50508","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852807","480_30193","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852808","481_30130","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852809","482_50181","0","y","y","y","n","y","y","y","n","y","n","y","n","Y","N","N","N","N","N"
"852810","483_30241","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852811","484_30239","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852812","485_20026","1","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852813","486_50776","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852814","487_50506","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852815","488_10155","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852816","489_30080","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852817","490_10034","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","N","Y","N"
"852818","491_50019","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852819","492_10020","0","n","y","y","y","n","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852820","493_50109","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852821","494_10098","1","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852822","495_30190","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852823","496_50060","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852824","497_50876","0","n","n","n","y","n","y","n","n","n","n","n","y","N","N","N","N","N","N"
