"ID","Name","§130 StGB - Goldstandard","Result - Vanilla GPT-4o","Result - Vanilla GPT-o1","Result - Vanilla Deepseek V3","Result - Vanilla GPT OSS120b","Result - Vanilla Mistral Large","Result - Vanilla GPT5-mini","Result - CoT GPT 4o","Result - CoT GPT o1","Result - CoT Deepseek V3","Result - CoT GPT  OSS120b","Result - CoT Mistral Large","Result - CoT GPT5-mini","Result - RuleAI Deepseek V3","Result - RuleAI GPT OSS120b","Result RuleAI GPT5-mini","Result - RuleAI Mistral Large","Result - RuleAI GPT-4o","Result - RuleAI GPT-o1"
"852229","1_10117","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852230","2_30194","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852231","3_50078","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852232","4_50121","0.5","n","y","n","y","n","y","y","y","n","y","n","y","N","N","N","N","N","N"
"852233","5_10029","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","Y","Y","Y"
"852234","6_50534","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852235","7_20065","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852236","8_30139","0","n","n","n","n","n","y","y","n","n","y","n","n","N","N","N","N","N","N"
"852237","9_10036","0.5","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852238","10_30104","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852239","11_20054","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852240","12_50153","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852241","13_10025","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","N","N","N"
"852242","14_50900","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852243","15_50831","0","n","n","n","y","n","y","n","n","n","y","n","y","N","N","N","N","N","N"
"852244","16_50024","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852245","17_30100","0","n","n","n","y","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852246","18_20014","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852247","19_50504","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852248","20_50147","0.5","y","y","y","n","n","y","y","y","y","n","n","y","Y","N","N","Y","N","N"
"852249","21_30192","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852250","22_10122","0","y","y","y","y","y","y","n","y","n","y","n","y","N","N","N","N","N","N"
"852251","23_50081","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852252","24_50045","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852253","25_30074","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852254","26_10128","0","n","y","n","n","n","n","n","n","n","y","n","n","N","N","N","N","N","N"
"852255","27_50513","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852256","28_50507","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852257","29_30229","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852258","30_50922","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852259","31_30164","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852260","32_50077","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852261","33_60051","0.5","y","y","y","y","y","y","y","y","y","y","y","y","N","N","N","N","N","N"
"852262","34_30065","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852263","35_60000","0.5","y","y","y","y","y","y","y","n","y","y","y","y","N","Y","N","Y","N","N"
"852264","36_60046","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","Y","Y","Y","Y"
"852265","37_30131","0","n","n","n","y","n","y","n","y","n","n","n","y","N","N","N","N","N","N"
"852266","38_50004","0","y","y","y","y","n","n","n","y","y","n","n","n","Y","N","N","N","N","N"
"852267","39_50872","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852268","40_50142","0","n","n","y","n","y","n","n","n","y","n","n","n","N","N","N","N","N","N"
"852269","41_30044","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852270","42_50522","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852271","43_30024","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852272","44_20056","0","n","n","n","y","n","n","n","n","n","y","n","n","Y","N","N","N","N","N"
"852273","45_20064","0","y","y","y","y","n","y","y","y","y","y","n","y","N","N","N","N","N","N"
"852274","46_30179","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852275","47_30022","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852276","48_30240","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852277","49_20060","0.5","y","y","y","y","y","y","y","y","y","y","n","y","N","N","N","Y","Y","Y"
"852278","50_30050","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852279","51_50079","0.5","n","y","y","y","y","y","y","y","y","n","n","y","Y","N","N","N","N","N"
"852280","52_50131","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852281","53_50197","0","y","n","y","n","n","n","y","n","y","n","n","n","N","N","N","N","N","N"
"852282","54_10061","0.5","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","N","N","N"
"852283","55_10063","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852284","56_50498","0","n","y","y","n","n","y","n","n","n","n","n","y","N","N","N","N","N","N"
"852285","57_10129","0","n","y","y","y","n","y","n","y","n","y","n","y","N","N","N","N","N","N"
"852286","58_10003","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852287","59_30169","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852288","60_30009","0","n","n","n","n","n","n","y","n","n","n","n","n","N","N","N","N","N","N"
"852289","61_10071","0.5","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852290","62_10095","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852291","63_30020","0","n","n","y","y","n","n","n","n","n","n","n","y","Y","N","N","N","N","N"
"852292","64_30019","0","n","n","n","y","n","y","n","y","y","y","n","y","Y","N","N","N","N","N"
"852293","65_30067","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852294","66_50186","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852295","67_10075","0","y","y","y","n","y","y","y","y","n","y","n","y","Y","N","N","Y","N","N"
"852296","68_30048","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852297","69_30211","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852298","70_30233","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852299","71_20033","0","y","y","n","n","n","y","n","y","n","n","n","y","N","N","N","N","N","N"
"852300","72_50915","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852301","73_20052","0.5","n","y","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852302","74_50494","0","n","n","n","y","n","n","n","n","n","n","n","y","N","N","N","N","N","N"
"852303","75_50072","0","y","n","n","n","n","n","n","n","n","n","n","y","N","N","N","N","N","N"
"852304","76_20051","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852305","77_10119","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852306","78_30223","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852307","79_30166","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852308","80_10091","0","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","Y","Y","Y"
"852309","81_10004","0","y","y","y","n","y","n","y","y","y","n","n","y","Y","N","N","N","N","N"
"852310","82_50144","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852311","83_10084","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","Y","Y","Y","Y"
"852312","84_30062","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852313","85_50157","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852314","86_50781","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852315","87_50812","0.5","n","y","n","n","n","y","n","n","n","n","n","y","N","N","N","N","N","N"
"852316","88_50878","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852317","89_50777","0","n","n","y","n","y","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852318","90_50016","0","y","y","y","y","y","y","y","y","y","y","n","y","Y","N","N","N","N","Y"
"852319","91_30147","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852320","92_50062","0","y","y","y","y","y","y","y","y","n","y","n","y","N","N","N","N","N","N"
"852321","93_50000","0","n","n","y","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852322","94_50151","0.5","y","y","y","n","n","y","y","y","y","y","n","y","N","N","N","Y","Y","Y"
"852323","95_60049","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","N","N","N","N","N"
"852324","96_30156","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852325","97_50013","0.5","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852326","98_10023","0","y","y","y","y","y","y","y","y","y","n","y","y","Y","N","N","N","N","N"
"852327","99_50044","0","y","n","y","y","y","y","y","y","y","n","n","y","N","N","N","N","N","N"
"852328","1_50841","0","n","y","n","n","n","y","n","n","n","n","n","n","N","N","N","N","N","N"
"852329","2_30025","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852330","3_20048","0","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","N","Y","Y"
"852331","4_30046","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852332","5_30095","0","n","n","n","n","n","n","n","y","n","n","n","y","N","N","N","N","N","N"
"852333","6_50780","0.5","y","y","n","y","n","y","y","y","n","y","n","y","N","N","N","N","N","N"
"852334","7_50847","0","y","y","n","n","y","y","y","n","y","n","y","y","N","N","N","N","N","N"
"852335","8_10142","0","n","n","n","n","n","n","n","n","n","n","n","y","N","N","N","N","N","N"
"852336","9_30060","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852337","10_10145","1","y","y","y","y","y","y","y","y","y","y","y","y","Y","Y","N","Y","Y","Y"
"852338","11_50106","0.5","n","y","y","y","n","y","y","y","y","y","n","y","Y","Y","N","Y","Y","N"
"852339","12_50846","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
"852340","13_30112","0","n","n","n","n","n","n","n","n","n","n","n","n","N","N","N","N","N","N"
