model_column,f2,cohen_kappa,balanced_accuracy,f1,precision,recall,accuracy,evaluated_rows,tp,tn,fp,fn
Result - RuleAI Mistral Large,0.88,0.86,0.94,0.87,0.86,0.89,0.98,868,71,776,12,9
Result - RuleAI GPT-4o,0.84,0.82,0.91,0.83,0.83,0.84,0.97,868,67,774,14,13
Result - RuleAI GPT-o1,0.82,0.8,0.9,0.81,0.8,0.82,0.97,868,66,772,16,14
Result - RuleAI Deepseek V3,0.77,0.58,0.91,0.63,0.48,0.91,0.9,868,73,710,78,7
Result - CoT GPT o1,0.74,0.46,0.91,0.53,0.36,1.0,0.84,868,80,646,142,0
Result - CoT GPT  OSS120b,0.72,0.46,0.89,0.53,0.37,0.94,0.85,868,75,659,129,5
Result - Vanilla GPT-o1,0.72,0.44,0.9,0.51,0.34,1.0,0.82,868,80,636,152,0
Result - CoT GPT 4o,0.72,0.43,0.9,0.51,0.34,0.99,0.82,868,79,635,153,1
Result - Vanilla GPT-4o,0.71,0.46,0.88,0.53,0.37,0.91,0.85,868,73,665,123,7
Result - CoT Deepseek V3,0.71,0.45,0.88,0.52,0.37,0.93,0.85,868,74,660,128,6
Result - Vanilla GPT OSS120b,0.7,0.42,0.88,0.5,0.34,0.95,0.82,868,76,638,150,4
Result - Vanilla GPT5-mini,0.7,0.41,0.89,0.49,0.33,0.97,0.81,868,78,627,161,2
Result - Vanilla Mistral Large,0.68,0.43,0.86,0.5,0.35,0.89,0.84,868,71,657,131,9
Result - CoT GPT5-mini,0.68,0.36,0.88,0.45,0.29,1.0,0.78,868,80,596,192,0
Result - Vanilla Deepseek V3,0.66,0.35,0.87,0.44,0.28,1.0,0.77,868,80,586,202,0
Result - CoT Mistral Large,0.64,0.52,0.81,0.57,0.49,0.69,0.9,868,55,730,58,25
Result - RuleAI GPT OSS120b,0.54,0.57,0.74,0.6,0.75,0.5,0.94,868,40,775,13,40
Result RuleAI GPT5-mini,0.16,0.21,0.57,0.23,0.73,0.14,0.92,868,11,784,4,69
